ACCE_ABSORB_CHANCE	Absorption rate: %d%%
ACCE_REFINE_COST	Absorption price: %d
ACCE_ABSORB_CHANCE2	Absorption rate: %d%% ~ %d%%
ACCE_DO_YOU_CLEAN	Do you want to remove all available bonuses?
ACCE_FAILURE_CLEAN	No bonuses can be taken away.
ACCE_DEL_ABSORDITEM	Absorb item, destroying it in the process?
ACCE_DEL_SERVEITEM	Sash 2 will be destroyed should the combination fail.
ACCEPT_WARP_FROM_YOUR_FRIEND_REQUEST	Do you accept %s to teleport to you?
AFF_LOVE_POINT	Love points: %d%%
ALIGNMENT_NAME	Rank points:
ATTACK_ERROR_UNKNOWN	Unknown attack error: %s
AURA_BOOST_DRAIN_PER	Extra Absorption +%d%%
AURA_DRAIN_PER	Absorption rate %.1f%%
AURA_DRAIN_BOOST_PER	Absorption rate %.1f%% (+%d%%)
AURA_EVOLUTION_GOLD	Insufficient Yang to evolve.
AURA_IMPOSSIBLE_ABSORBITEM	No further bonuses can be applied.
AURA_IMPOSSIBLE_EQUIPITEM	Equipped items cannot be transmitted.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	Cannot be evolved.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	Current number of items is not sufficient to evolve.
AURA_IMPOSSIBLE_GROWTHITEM	Cannot be improved.
AURA_IMPOSSIBLE_GROWTHITEM2	You need to attach the materials.
AURA_IMPOSSIBLE_REFINEITEM	Only Shield, Necklace, Earring and Armband can be used.
AURA_IMPOSSIBLE_REFINEITEM2	Only Aura Outfit, Shield, Necklace, Earring and Armband can be used.
AURA_ITEM_NEED_REGISTER	Items must be inserted.
AURA_LEVEL_STEP	Lvl %d (Stage %d)
AURA_MAX_LEVEL	Aura Outfit has attained maximum level.
AURA_NOTICE_DEL_ABSORDITEM	Transmitted item will be destroyed.
AURA_OPEN_OTHER_WINDOW	You cannot do this while the window for improvement, evolution or transferring stats is open.
AURA_POSSIBLE_AURAITEM	Only Aura Outfit can be used.
AURA_POSSIBLE_AURARESOURCE	Only Aura Ice Rune and Aura Fire Rune can be used.
AURA_POSSIBLE_REGISTER_AURAITEM	Aura Outfit must be inserted first.
AURA_TITLE_ABSORB	Absorption Aura Outfit
AURA_TITLE_EVOLUTION	Evolve Aura Outfit
AURA_TITLE_GROWTH	Improve Aura Outfit
AURA_TOOLTIP_EVOLUTION_PER	Chance: %d%%
AURA_TOOLTIP_EXP	EXP (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Lvl %d (Stage %d) (Absorption rate %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	New
AURA_TOOLTIP_NOW	Current
AURA_TOOLTIP_RESOURCE	Consumables
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
BIOLOG_MANAGER_REQUIRED_LEVEL	The biologist's current mission:
BIOLOG_MANAGER_REWARD	Reward
BIOLOG_MANAGER_TIME_TEXT	You can deliver the next item!
BIOLOG_MANAGER_TIME_WAIT	Wait: 
BIOLOG_MANAGER_TITLE	Biolog
BONUS_BOARD_CATEGORY_1	Damage/Defence
BONUS_BOARD_CATEGORY_2	Elemental bonus
BONUS_BOARD_CATEGORY_3	Class bonus
BONUS_BOARD_CATEGORY_4	Weapon bonus
BONUS_BOARD_CATEGORY_5	Other bonus
CANNOT_ATTACK_DEST_IN_SAFE	The combatant is too far away.
CANNOT_ATTACK_SELF_IN_SAFE	I cannot attack my opponent from here.
CANNOT_EQUIP_IN_EXCHANGE	You cannot change your equipment whilst trading.
CANNOT_EQUIP_IN_SHOP	You cannot change your equipment whilst trading.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	You cannot open a private shop in a public area.
CANNOT_SHOOT_DEST_IN_SAFE	The enemy is too far away.
CANNOT_SHOOT_EMPTY_ARROW	I need an arrow.
CANNOT_SHOOT_SELF_IN_SAFE	I cannot attack my opponent from here.
CANNOT_SKILL_APPROACH	I am sure that I cannot get any closer.
CANNOT_SKILL_ATTACK	I cannot attack that.
CANNOT_SKILL_DEST_IN_SAFE	The opponent is too far away.
CANNOT_SKILL_EQUIP_FISHING_ROD	You cannot fish without a fishing rod equipped.
CANNOT_SKILL_HAVE_TO_RIDE	I need a Horse to be able to use this.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	I do not have an empty bottle.
CANNOT_SKILL_NEED_POISON_BOTTLE	I do not have a Poison Bottle.
CANNOT_SKILL_NEED_TARGET	Who is the target?
CANNOT_SKILL_NOT_ENOUGH_HP	I do not have enough HP!
CANNOT_SKILL_NOT_ENOUGH_SP	I do not have enough SP!
CANNOT_SKILL_NOT_HORSE_SKILL	I cannot use this whilst riding.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	I cannot use this skill with this weapon.
CANNOT_SKILL_NOT_STANDING_HORSE_SKILL	You cannot use this skill on this mount.
