ACCE_ABSORB_CHANCE	Rata absorbției: %d%%
ACCE_REFINE_COST	Prețul absorbției: %d
ACCE_ABSORB_CHANCE2	Rata absorbției: %d%% ~ %d%%
ACCE_DO_YOU_CLEAN	Vrei să ștergi bonusurile de pe aceasta eșarfă?
ACCE_FAILURE_CLEAN	Nici un bonus de șters.
ACCE_DEL_ABSORDITEM	Obiectul poate fi distrus în procesul de absorbție!
ACCE_DEL_SERVEITEM	A doua eșarfă va fi distrusă dacă combinarea eșuează.
ACCEPT_WARP_FROM_YOUR_FRIEND_REQUEST	Accepți ca %s să se teleporteze la tine?
AFF_LOVE_POINT	Punct de dragoste: %d%%
ALIGNMENT_NAME	Puncte de grad:
ATTACK_ERROR_UNKNOWN	Greșeală de atac necunoscută: %s
AURA_BOOST_DRAIN_PER	Absorbție extra +%d%%
AURA_DRAIN_PER	Rată absorbție %.1f%%
AURA_DRAIN_BOOST_PER	Rată absorbție %.1f%% (+%d%%)
AURA_EVOLUTION_GOLD	Yang insuficient pentru evoluare.
AURA_IMPOSSIBLE_ABSORBITEM	Obiectul transmis nu poate fi utilizat.
AURA_IMPOSSIBLE_EQUIPITEM	Obiectele echipate nu pot fi transmise.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	Nu poate fi evoluat.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	Numărul de obiecte nu este suficient pentru evoluare.
AURA_IMPOSSIBLE_GROWTHITEM	Nu poate fi îmbunătățit.
AURA_IMPOSSIBLE_GROWTHITEM2	Trebuie să atașezi materialele.
AURA_IMPOSSIBLE_REFINEITEM	Doar Scut, Colier, Cercei și Brățara pot fi folosite.
AURA_IMPOSSIBLE_REFINEITEM2	Doar Costum Aură, Scut, Colier, Cercei și Brățara pot fi folosite.
AURA_ITEM_NEED_REGISTER	Obiectul trebuie inserat.
AURA_LEVEL_STEP	Nivel %d (Stagiu %d)
AURA_MAX_LEVEL	Costumul Aură a ajuns la nivelul maxim.
AURA_NOTICE_DEL_ABSORDITEM	Obiectul transmis va fi distrus.
AURA_OPEN_OTHER_WINDOW	Nu poți face asta în timp ce este deschisă o ferestră pentru îmbunătățire, evoluție sau transfer de statusuri.
AURA_POSSIBLE_AURAITEM	Doar Costum Aură poate fi folosit.
AURA_POSSIBLE_AURARESOURCE	Doar Rună Aură de Gheață și Rună Aură de Foc pot fi folosite.
AURA_POSSIBLE_REGISTER_AURAITEM	Costum Aură trebuie inserat mai întâi.
AURA_TITLE_ABSORB	Absorbție Costum Aură
AURA_TITLE_EVOLUTION	Evoluție Costum Aură
AURA_TITLE_GROWTH	Îmbunătățire Costum Aură
AURA_TOOLTIP_EVOLUTION_PER	Șansă: %d%%
AURA_TOOLTIP_EXP	EXP (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Nivel %d (Stagiu %d) (Rată absorbție %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Nou
AURA_TOOLTIP_NOW	Actual
AURA_TOOLTIP_RESOURCE	Consumabile
