//1¹øÂ°·£´ý										
//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//1_1A										
m	71	576	0	0	0	0	1s	100	1	10804
m	71	669	0	0	0	0	1s	100	1	10831
m	133	667	0	0	0	0	1s	100	1	10813
//1_2A										
m	184	566	0	0	0	0	1s	100	1	10801
m	300	567	0	0	0	0	1s	100	1	10808
m	281	636	0	0	0	0	1s	100	1	10832
m	180	667	0	0	0	0	1s	100	1	10812
//1_3A										
m	348	551	0	0	0	0	1s	100	1	10805
m	400	556	0	0	0	0	1s	100	1	10810
//1_4A										
m	68	817	0	0	0	0	1s	100	1	10809
m	141	822	0	0	0	0	1s	100	1	10809
m	187	712	0	0	0	0	1s	100	1	10823
//1_5A										
m	274	711	0	0	0	0	1s	100	1	10802
m	227	776	0	0	0	0	1s	100	1	10811
m	327	777	0	0	0	0	1s	100	1	10829
m	274	841	0	0	0	0	1s	100	1	10834
//1_6A										
m	351	717	0	0	0	0	1s	100	1	10803
//m	419	711	0	0	0	0	1s	100	1	10806
m	364	776	0	0	0	0	1s	100	1	10812
m	349	839	0	0	0	0	1s	100	1	10815
m	365	807	0	0	0	0	1s	100	1	10833
m	429	842	0	0	0	0	1s	100	1	10835
//1_7A										
m	94	835	0	0	0	0	1s	100	1	10802
m	52	864	0	0	0	0	1s	100	1	10807
m	142	865	0	0	0	0	1s	100	1	10811
m	51	921	0	0	0	0	1s	100	1	10816
m	89	950	0	0	0	0	1s	100	1	10833
m	143	918	0	0	0	0	1s	100	1	10822
//1_8A										
m	194	860	0	0	0	0	1s	100	1	10815
m	245	853	0	0	0	0	1s	100	1	10834
//1_9A										
m	313	853	0	0	0	0	1s	100	1	10801
m	362	894	0	0	0	0	1s	100	1	10804
m	406	873	0	0	0	0	1s	100	1	10830
m	435	935	0	0	0	0	1s	100	1	10813

