VNUM	LOCALE_NAME
1	Yang
2	Română
10	Sabie+0
11	Sabie+1
12	Sabie+2
13	Sabie+3
14	Sabie+4
15	Sabie+5
16	Sabie+6
17	Sabie+7
18	Sabie+8
19	Sabie+9
20	Sabie lungă+0
21	Sabie lungă+1
22	Sabie lungă+2
23	Sabie lungă+3
24	Sabie lungă+4
25	Sabie lungă+5
26	Sabie lungă+6
27	Sabie lungă+7
28	Sabie lungă+8
29	Sabie lungă+9
30	Iatagan+0
31	Iatagan+1
32	Iatagan+2
33	Iatagan+3
34	Iatagan+4
35	Iatagan+5
36	Iatagan+6
37	Iatagan+7
38	Iatagan+8
39	Iatagan+9
40	Sabie bambus+0
41	Sabie bambus+1
42	Sabie bambus+2
43	Sabie bambus+3
44	Sabie bambus+4
45	Sabie bambus+5
46	Sabie bambus+6
47	Sabie bambus+7
48	Sabie bambus+8
49	Sabie bambus+9
50	Sabie lată+0
51	Sabie lată+1
52	Sabie lată+2
53	Sabie lată+3
54	Sabie lată+4
55	Sabie lată+5
56	Sabie lată+6
57	Sabie lată+7
58	Sabie lată+8
59	Sabie lată+9
60	Sabie de argint+0
61	Sabie de argint+1
62	Sabie de argint+2
63	Sabie de argint+3
64	Sabie de argint+4
65	Sabie de argint+5
66	Sabie de argint+6
67	Sabie de argint+7
68	Sabie de argint+8
69	Sabie de argint+9
70	Sabie orhidee+0
71	Sabie orhidee+1
72	Sabie orhidee+2
73	Sabie orhidee+3
74	Sabie orhidee+4
75	Sabie orhidee+5
76	Sabie orhidee+6
77	Sabie orhidee+7
78	Sabie orhidee+8
79	Sabie orhidee+9
80	Sabie bastard+0
81	Sabie bastard+1
82	Sabie bastard+2
83	Sabie bastard+3
84	Sabie bastard+4
85	Sabie bastard+5
86	Sabie bastard+6
87	Sabie bastard+7
88	Sabie bastard+8
89	Sabie bastard+9
90	Sabie barbar+0
91	Sabie barbar+1
92	Sabie barbar+2
93	Sabie barbar+3
94	Sabie barbar+4
95	Sabie barbar+5
96	Sabie barbar+6
97	Sabie barbar+7
98	Sabie barbar+8
99	Sabie barbar+9
100	Sabie sângeroasă+0
101	Sabie sângeroasă+1
102	Sabie sângeroasă+2
103	Sabie sângeroasă+3
104	Sabie sângeroasă+4
105	Sabie sângeroasă+5
106	Sabie sângeroasă+6
107	Sabie sângeroasă+7
108	Sabie sângeroasă+8
109	Sabie sângeroasă+9
110	Sabie mare+0
111	Sabie mare+1
112	Sabie mare+2
113	Sabie mare+3
114	Sabie mare+4
115	Sabie mare+5
116	Sabie mare+6
117	Sabie mare+7
118	Sabie mare+8
119	Sabie mare+9
120	Sabie vrăjitor+0
121	Sabie vrăjitor+1
122	Sabie vrăjitor+2
123	Sabie vrăjitor+3
124	Sabie vrăjitor+4
125	Sabie vrăjitor+5
126	Sabie vrăjitor+6
127	Sabie vrăjitor+7
128	Sabie vrăjitor+8
