VNUM	LOCALE_NAME
101	Câine sălbatic
102	Lup
103	Lup alpha
104	Lup albastru
105	Lup alpha albastru
106	Lup gri
107	Lup alpha gri
108	Mistreț
109	Mistreț roșu
110	Urs
111	Urs grizzly
112	Urs negru
113	Urs brun
114	Tigru
115	Tigru alb
131	Lup blestemat
132	Lup blestemat alpha
133	Lup blestemat albastru
134	Lup alpha albastru blest
135	Lup blestemat gri
136	Lup blest alpha gri
137	Mistreț blestemat
138	Mistreț blestemat roșu
139	Urs blestemat
140	Urs blestemat grizzly
141	Urs blestemat negru
142	Urs blestemat brun
143	Tigru blestemat
144	Tigru blestemat alb
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Câine sălbatic flămând
172	Lup flămând
173	Lup flămând alpha
174	Lup flămând albastru
175	Lup flămând alpha albast
176	Lup flămând gri
177	Lup flămând alpha gri
178	Mistreț flămând
179	Mistreț flămând roșu
180	Urs flămând
181	Urs flămând grizzly
182	Urs flămând negru
183	Urs flămând brun
184	Tigru flămând
185	Tigru flămând alb
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Amazoană soldat
302	Amazoană arcaș
303	Amazoană general
304	Amazoană comandant
331	Amazoană soldat
332	Amazoană arcaș
333	Amazoană general
334	Amazoană comandant
351	Amazoană soldat lașă
352	Amazoană arcaș lașă
353	Amazoană general lașă
354	Amazoană comandant lașă
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Tristul de Mi-Jung
396	Tristul de Eun-Jung
397	Tristul Se-Rang
398	Tristul Jin-Hee
401	Soldat vânt negru
402	Posedat de vânt negru
403	Arcaș vânt negru
404	Vânt negru Jak-To
405	Vânt negru To-Su
406	Vânt negru Gu-Ryung
431	Soldat de atac negru
432	Posedat de atac negru
433	Arcaș negru
434	Joh-Hwan de atac negru
435	Kyuk-Jan de atac negru
436	Pho-Hwan de atac negru
451	Soldat de atac negru rău
452	Posedat de atac rău
453	Arcaș de atac rău
454	Joh-Hwan de atac rău
455	Kyuk-Jang de atac rău
456	Pho-Hwan de atac rău
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Infanterist sălbatic
502	Sălbatic devotat
503	Arcaș sălbatic
504	General sălbatic
531	Soldat brutal
532	Posedat brutal
533	Arcaș brutal
534	Specialist brutal
551	Infanterist sălbatic dur
552	Locotenent sălbatic dur
553	Arcaș sălbatic dur
554	General sălbatic dur
591	Căpitanul Bestie
595	Geum-Chul brutal
601	Orc
602	Spion orc
603	Orc luptător
604	Orc vrăjitor
